ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
2108C6994902E5A7,classic_bike,Wednesday,7.921133335431417,Driggs Ave & N Henry St,Van Dam St & Meeker Ave,member
86B6EB41C30D47CE,electric_bike,Monday,3.9412999987602233,28 St & 36 Ave,35 Ave & 10 St,member
F6C85BF200E19F86,electric_bike,Monday,7.120949999491374,8 Ave & W 52 St,Amsterdam Ave & W 66 St,member
DB08103F4A9F307B,electric_bike,Thursday,9.814300000667572,Ave D & E 3 St,Orchard St & Grand St,member
6A7D9B159FBDBAE0,electric_bike,Monday,4.024349999427796,West End Ave & W 60 St,Broadway & W 58 St,member
C5EA66E53AB0658E,electric_bike,Wednesday,7.102583332856496,E 53 St & Lexington Ave,E 40 St & 5 Ave,casual
0E983C12765EFD17,electric_bike,Wednesday,2.501699999968211,Broadway & W 38 St,W 37 St & 5 Ave,member
7DCEE10610CAB65A,electric_bike,Saturday,13.614600002765656,Greenwich Ave & 8 Ave,E 6 St & Ave B,member
10E540B52422C393,classic_bike,Thursday,5.6815999984741214,Allen St & Stanton St,E 7 St & Ave A,member
F8F807067394A502,classic_bike,Thursday,27.036950000127156,E 47 St & 1 Ave,Amsterdam Ave & W 82 St,member
A02945F4CB679159,electric_bike,Tuesday,12.906949996948242,Milton St & Franklin St,Franklin Ave & Myrtle Ave,casual
DB826D008E7BF44B,electric_bike,Thursday,4.6144499977429705,DeKalb Ave & S Portland Ave,Fulton St & Adams St,member
2A47AD512D2BF552,electric_bike,Tuesday,23.25458333094915,Franklin St & W Broadway,W 30 St & 10 Ave,member
427FB2015710533B,electric_bike,Tuesday,11.388283332188925,3 Ave & E 72 St,W 47 St & 6 Ave,member
0456F6985FCE4E8A,electric_bike,Wednesday,36.375300002098086,11 Ave & W 41 St,Franklin St & Dupont St,member
D1BE338E5667AAE7,classic_bike,Saturday,21.510883331298828,8 Ave & W 31 St,Broadway & E 14 St,casual
37514E5D5DB74B55,electric_bike,Saturday,5.198533336321513,W 20 St & 8 Ave,W 4 St & 7 Ave S,member
499EAFB6390FF082,electric_bike,Friday,4.4907166679700214,NA,Canal St & Rutgers St,member
E63539E2594AD98F,electric_bike,Monday,15.555850001176198,Bond St & Bergen St,Greenwich St & Hubert St,member
6AB7F8DCD7884EB8,classic_bike,Thursday,7.74688333272934,N 10 St & Berry St,India St Pier,member
47EE071C72C7732E,classic_bike,Monday,7.543400001525879,E 25 St & 2 Ave,E 11 St & 3 Ave,member
FFE3B1E99BE45081,electric_bike,Tuesday,1.039133334159851,W 55 St & 6 Ave,7 Ave & W 55 St,member
EBD16EF0647E5A58,electric_bike,Monday,42.71416666507721,St James Pl & Oliver St,Broadway & W 48 St,casual
C1817685D91F268E,electric_bike,Thursday,1.8937333305676778,Lenox Rd & E 43 St,Church Ave & E 42 St,member
692A86BC2F9F4F63,classic_bike,Wednesday,17.16401666800181,Marcy Ave & Lafayette Ave,Sands St Gate,member
59B99B20A1847330,electric_bike,Wednesday,8.71728333234787,West End Ave & W 60 St,W 30 St & 10 Ave,member
CAC8C6C98328145A,classic_bike,Tuesday,2.1867999990781146,Duane St & Hudson St,Warren St & W Broadway,member
7DD658BF384EF9F3,electric_bike,Saturday,3.5140833338101705,W 22 St & 10 Ave,W 24 St & 7 Ave,member
B05ECC87BCEB154B,electric_bike,Monday,20.427799999713898,6 Ave & W 33 St,Grand St & Elizabeth St,member
1455EFB0C8621C5A,classic_bike,Wednesday,2.7438000003496805,Newtown Ave & 23 St,31 St & Newtown Ave,member
FF9172B27FB2A0D7,electric_bike,Tuesday,5.343850000699361,Hanson Pl & Ashland Pl,Willoughby Ave & Hall St,member
F4C07BBA2A9ED742,electric_bike,Saturday,14.643600002924602,DeKalb Ave & Hudson Ave,Murray St & Greenwich St,casual
8370123C02A5BEE5,classic_bike,Thursday,4.569433331489563,Carmine St & 6 Ave,Spring St & Hudson St,member
0D1D89638BF3CA8E,electric_bike,Monday,23.410049998760222,W 51 St & Rockefeller Plaza,Warren St & W Broadway,member
82D7DD0200E9CC42,electric_bike,Friday,69.1386333346367,Metropolitan Ave & Meeker Ave,Scholes St & Lorimer St,casual
C15A0AA1EAF43B1F,electric_bike,Sunday,26.254083331425985,Central Park S & 6 Ave,Central Park West & W 72 St,casual
B76F46FA8F3E12A7,classic_bike,Monday,13.000066669782003,Plaza St East & Flatbush Ave,Lexington Ave & Classon Ave,member
DCC2E9F297F3E467,electric_bike,Saturday,19.701049999396005,Manhattan Ave & Devoe St,Ave D & E 8 St,casual
4B8D430DDEA4C350,electric_bike,Monday,7.248783334096273,Carroll St & 5 Ave,7 Ave & Park Pl,casual
39017FE52B77DCB3,classic_bike,Wednesday,5.78425000111262,Powers St & Olive St,Hope St & Union Ave,member
EDF4821B4766F958,classic_bike,Tuesday,19.80443333387375,Broadway & E 21 St,Market St & Cherry St,casual
C1D5F189CE8CAB27,electric_bike,Sunday,6.240783333778381,43 St & 50 Ave,Woodside Ave & 55 St,member
D6E5FCD0A3FD2265,electric_bike,Wednesday,8.928216663996379,E 55 St & 2 Ave,6 Ave & W 34 St,member
8E0170AEBD42A609,electric_bike,Tuesday,20.39231666723887,1 Ave & E 68 St,Huron St & Franklin St,member
10BFC23C4A8D0D29,electric_bike,Monday,2.85478333234787,W 41 St & 8 Ave,Broadway & W 38 St,member
6FFB54586F827F8F,electric_bike,Saturday,2.0258000016212465,W 43 St & 10 Ave,W 43 St & 10 Ave,casual
F6A0AAC4288863FD,classic_bike,Friday,7.386666667461395,Henry St & Atlantic Ave,Cadman Plaza E & Red Cross Pl,member
A9FED418366E7E07,classic_bike,Tuesday,1.6894500017166139,7 Ave & W 55 St,Broadway & W 53 St,member
0C6BA4491E5C376B,classic_bike,Monday,1.6995500008265176,Cleveland Pl & Spring St,Lafayette St & Grand St,member
0CB5327B9CE23B4F,electric_bike,Saturday,2.288266666730245,E 161 St & Park Ave,Melrose Ave & E 154 St,member
1F6FCB8DA6724B5F,classic_bike,Tuesday,4.504766666889191,5 Ave & W 131 St,Madison Ave & E 120 St,member
EE227037B68DB9A7,classic_bike,Saturday,18.009183331330618,9 Ave & W 45 St,W 76 St & Columbus Ave,casual
